porsche-911-turbo-s,Porsche 911 Turbo S,230000,/images/porsche-911-turbo-s/porsche-911-turbo-s.png,640 hp,2.7 s,330 km/h,"The Porsche 911 Turbo S delivers exceptional performance with everyday usability, combining timeless design with cutting-edge engineering."
bmw-m4-competition,BMW M4 Competition,110000,/images/bmw-m4-competition/bmw-m4-competition.png,510 hp,3.9 s,290 km/h,"The BMW M4 Competition offers aggressive styling and track-inspired performance, engineered for drivers who demand precision and control."
mercedes-g63-amg,Mercedes-Benz G 63 AMG,180000,/images/mercedes-g63-amg/mercedes-g63-amg.png,577 hp,4.5 s,220 km/h,"The Mercedes-Benz G 63 AMG combines iconic design with extreme performance. Known for its commanding presence and luxury craftsmanship, it delivers power and prestige both on and off the road."
audi-rs6-avant,Audi RS6 Avant,150000,/images/audi-rs6-avant/audi-rs6-avant.png,600 hp,3.6 s,305 km/h,"The Audi RS6 Avant combines supercar-level performance with everyday practicality, redefining what a high-performance wagon can be."
toyota-gr-supra,Toyota GR Supra,70000,/images/toyota-gr-supra/toyota-gr-supra.png,382 hp,4.1 s,250 km/h,"The Toyota GR Supra delivers a pure sports car experience, focusing on balance, agility, and driver engagement."
lamborghini-huracan-evo,Lamborghini Huracán EVO,280000,/images/lamborghini-huracan-evo/lamborghini-huracan-evo.png,640 hp,2.9 s,325 km/h,"The Huracán EVO represents Lamborghini’s vision of modern supercars, combining extreme performance with bold, unmistakable design."
ferrari-roma,Ferrari Roma,250000,/images/ferrari-roma/ferrari-roma.png,620 hp,3.4 s,320 km/h,"The Ferrari Roma offers a refined interpretation of performance, blending elegance, comfort, and dynamic driving capabilities."
aston-martin-vantage,Aston Martin Vantage,180000,/images/aston-martin-vantage/aston-martin-vantage.png,510 hp,3.6 s,314 km/h,"The Aston Martin Vantage delivers a balance of luxury and raw performance, designed for an engaging and emotional driving experience."
mclaren-720s,McLaren 720S,300000,/images/mclaren-720s/mclaren-720s.png,720 hp,2.8 s,341 km/h,"The McLaren 720S pushes the limits of performance and innovation, offering breathtaking speed with advanced aerodynamic design."
nissan-gtr,Nissan GT-R,140000,/images/nissan-gtr/nissan-gtr.png,565 hp,2.9 s,315 km/h,The Nissan GT-R is a high-performance sports car known for its advanced all-wheel-drive system and precise engineering.
